did,oid,eid,sid,ent,flow,flow_D,count,count_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,dtimeTtime,dtimeTtime_D,spdh,spdh_D,flow_capacity,flow_capacity_D,density,density_D,qvnbvehs,qmean,qmean_D,qmax,qmax_D,qvmean,qvmean_D,qvmax,qvmax_D,travel,travel_D,traveltime,traveltime_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D
432282,379671,,0,0,10,-1,10,-1,10,-1,10,-1,16.72250464,0.977687719,4.718547687,0.688559647,0,0,13.90834054,0.759518716,28.21675215,-1,13.86845968,0.743697571,0.011111111,-1,0.72106061,-1,0,0.022888889,-1,1,-1,0,-1,0,-1,0.644209393,-1,167.2250464,-1,0,-1,0,-1,0.8,0,1,-1
432282,379671,,1,0,10,-1,10,-1,10,-1,10,-1,16.72250464,0.977687719,4.718547687,0.688559647,0,0,13.90834054,0.759518716,28.21675215,-1,13.86845968,0.743697571,0.011111111,-1,0.72106061,-1,0,0.022888889,-1,1,-1,0,-1,0,-1,0.644209393,-1,167.2250464,-1,0,-1,0,-1,0.8,0,1,-1
432282,379671,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379673,,0,0,18,-1,18,-1,18,-1,18,-1,44.5632855,2.346445392,6.210693304,1.501006793,0,0,35.83996683,1.862562844,13.93679401,-1,35.7474768,1.818319258,0.02,-1,0.503532046,-1,0,0.038222222,-1,1,-1,0,-1,0,-1,7.965125073,-1,802.139139,-1,0,-1,0,-1,0.8,0,1,-1
432282,379673,,1,0,18,-1,18,-1,18,-1,18,-1,44.5632855,2.346445392,6.210693304,1.501006793,0,0,35.83996683,1.862562844,13.93679401,-1,35.7474768,1.818319258,0.02,-1,0.503532046,-1,0,0.038222222,-1,1,-1,0,-1,0,-1,7.965125073,-1,802.139139,-1,0,-1,0,-1,0.8,0,1,-1
432282,379673,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379679,,0,0,7,-1,7,-1,7,-1,7,-1,4.805792333,0.17853204,0.779810821,0.27350425,0,0,41.38441028,1.537840164,16.22647769,-1,41.33545408,1.422542449,0.007777778,-1,0.169346119,-1,0,0,-1,0,-1,0,-1,0,-1,0.386263127,-1,33.64054633,-1,0,-1,0,-1,0,0,0,-1
432282,379679,,1,0,7,-1,7,-1,7,-1,7,-1,4.805792333,0.17853204,0.779810821,0.27350425,0,0,41.38441028,1.537840164,16.22647769,-1,41.33545408,1.422542449,0.007777778,-1,0.169346119,-1,0,0,-1,0,-1,0,-1,0,-1,0.386263127,-1,33.64054633,-1,0,-1,0,-1,0,0,0,-1
432282,379679,,2,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379692,,0,0,5,-1,5,-1,5,-1,5,-1,80.58269476,0,4.318296766,0,0,0,44.83865811,0,5.358838866,-1,44.83865811,0,0.005555556,-1,0.111510925,-1,0,0,-1,1,-1,0,-1,0,-1,5.018360972,-1,402.9134738,-1,0,-1,0,-1,0.8,0,1,-1
432282,379692,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379692,,2,0,5,-1,5,-1,5,-1,5,-1,80.58269476,0,4.318296766,0,0,0,44.83865811,0,5.358838866,-1,44.83865811,0,0.005555556,-1,0.111510925,-1,0,0,-1,1,-1,0,-1,0,-1,5.018360972,-1,402.9134738,-1,0,-1,0,-1,0.8,0,1,-1
432282,379693,,0,0,6,-1,6,-1,7,-1,7,-1,77.99571403,0,0,0,0,0,49.9999999,0,0,-1,49.9999999,0,0.006666667,-1,0.124948963,-1,0,0,-1,0,-1,0,-1,0,-1,6.499642823,-1,467.9742842,-1,0,-1,0,-1,0,0,0,-1
432282,379693,,1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1
432282,379693,,2,0,6,-1,6,-1,7,-1,7,-1,77.99571403,0,0,0,0,0,49.9999999,0,0,-1,49.9999999,0,0.006666667,-1,0.124948963,-1,0,0,-1,0,-1,0,-1,0,-1,6.499642823,-1,467.9742842,-1,0,-1,0,-1,0,0,0,-1
432282,379697,,0,0,14,-1,14,-1,14,-1,14,-1,26.9401068,2.403295506,7.6159659,1.8935541,0,0,22.75662565,2.028441592,28.26999149,-1,22.58902108,1.945770623,0.015555556,-1,0.619770176,-1,0,0.031777778,-1,2,-1,0,-1,0,-1,2.366585823,-1,377.1614952,-1,0,-1,0,-1,0.8,0,1,-1
